Date_Time,Lamp_State,Fan_State,Bathroom_Humidity,Bathroom_Temperature,Bedroom1_Humidity,Bedroom1_Temperature,Kitchen_Humidity,Kitchen_Temperature,Diningroom_Humidity,Diningroom_Temperature,Livingroom1_Humidity,Livingroom1_Temperature,Livingroom2_Humidity,Livingroom2_Temperature,Bedroom2_Humidity,Bedroom2_Temperature,Bedroom2-Bathroom_Door,Bedroom1-Livingroom_Door,Livingroom-Kitchen_Door,Livingroom-Bathroom_Door,Bedroom1-Bathroom_Door,N/A(Nothing),Bedroom1-Back_Door,Livingroom-Front_Door,Bedroom1-2ft_Window,Livingroom-2ft_Window,Bedroom2-2ft_Window,Kitchen-2ft_Window,Bedroom2-3ft_Window,Livingroom-3ft_Window,Kitchen-3ft_Window,Bedroom1-3ft_Window
2019-07-12-11:06:34.363763,0,0,67,73.4,58,75.2,65,71.6,64,71.6,59,71.6,60,71.6,57,75.2,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0
2019-07-12-11:07:45.736819,0,0,67,73.4,58,75.2,65,71.6,64,71.6,59,71.6,60,71.6,57,75.2,1,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0
2019-07-12-11:08:59.655001,0,0,67,71.6,58,75.2,65,71.6,64,71.6,59,71.6,60,71.6,57,75.2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2019-07-12-11:10:05.987651,0,0,68,71.6,58,75.2,65,71.6,64,71.6,59,71.6,61,71.6,57,75.2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2019-07-12-11:11:14.826514,0,0,68,71.6,58,75.2,64,71.6,64,71.6,59,71.6,60,71.6,57,75.2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2019-07-12-11:12:18.619584,0,0,68,71.6,58,75.2,65,71.6,64,71.6,59,71.6,60,71.6,57,75.2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1
2019-07-12-11:13:27.455506,0,0,68,71.6,58,75.2,65,71.6,64,71.6,157,51.8,60,71.6,57,73.4,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1
2019-07-12-11:14:31.233359,0,0,67,71.6,59,75.2,65,71.6,64,71.6,60,71.6,60,71.6,57,75.2,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1
2019-07-12-11:16:13.015700,0,0,67,71.6,58,75.2,65,71.6,64,71.6,60,71.6,61,71.6,57,73.4,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1
2019-07-12-11:17:44.699394,0,0,67,71.6,58,75.2,65,71.6,65,71.6,61,71.6,60,71.6,57,75.2,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,1
2019-07-12-11:18:56.108418,0,0,67,71.6,58,75.2,65,71.6,65,71.6,60,71.6,61,71.6,57,75.2,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1
2019-07-12-11:20:02.426064,0,0,67,71.6,58,75.2,65,71.6,65,71.6,61,71.6,61,71.6,57,75.2,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1
2019-07-12-11:21:11.286464,0,0,67,71.6,58,75.2,66,71.6,65,71.6,60,71.6,61,71.6,57,75.2,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1
2019-07-12-11:22:22.650752,0,0,67,71.6,58,75.2,66,71.6,65,71.6,61,71.6,60,71.6,57,75.2,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,1
2019-07-12-11:23:31.502876,0,0,67,71.6,58,75.2,66,71.6,65,71.6,61,71.6,61,71.6,57,75.2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2019-07-12-11:24:35.294400,0,0,66,71.6,58,75.2,66,71.6,65,71.6,61,71.6,61,71.6,57,75.2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2019-07-12-11:26:19.622304,1,1,66,73.4,157,53.6,66,71.6,65,71.6,61,71.6,61,71.6,57,73.4,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2019-07-12-11:27:23.421434,1,1,66,71.6,56,77,60,73.4,65,42.8,52,77,60,71.6,57,75.2,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
